Obs Loc Type BIO H2S SAL Eh7 pH   BUF  P      K       Ca      Mg      Na      Mn      Zn      Cu      NH4 
1   OI DVEG 676 -610 33 -290 5.00 2.34 20.238 1441.67 2150.00 5169.05 35184.5 14.2857 16.4524 5.02381 59.524
2   OI DVEG 516 -570 35 -268 4.75 2.66 15.591 1299.19 1844.76 4358.03 28170.4 7.7285 13.9852 4.19019 51.378
3   OI DVEG 1052 -610 32 -282 4.20 4.18 18.716 1154.27 1750.36 4041.27 26455.0 17.8066 15.3276 4.79221 68.788
4   OI DVEG 868 -560 30 -232 4.40 3.60 22.821 1045.15 1674.36 3966.08 25072.9 49.1538 17.3128 4.09487 82.256
5   OI DVEG 1008 -610 33 -318 5.55 1.90 37.843  521.62 3360.02 4609.39 31664.2 30.5229 22.3312 4.60131 70.904
6   OI SHRT 436 -620 33 -308 5.05 3.22 27.381 1273.02 1811.11 4389.84 25491.7 9.7619 12.2778 4.50794 54.206
7   OI SHRT 544 -590 36 -264 4.25 4.50 21.284 1346.35 1906.63 4579.33 20877.3 25.7371 17.8225 4.91093 84.982
8   OI SHRT 680 -610 30 -340 4.45 3.50 16.511 1253.88 1860.29 3983.09 25621.3 10.0267 14.3516 5.11364 53.275
9   OI SHRT 640 -580 38 -252 4.75 2.62 18.199 1242.65 1799.02 4142.40 27587.3 9.0074 13.6826 4.64461 47.733
10  OI SHRT 492 -610 30 -288 4.60 3.04 19.321 1281.95 1796.66 4263.93 26511.7 12.7140 11.7566 4.58761 60.674
11  OI TALL 984 -540 30 -294 4.10 4.66 16.622 553.69 1019.56 1965.95 7886.5 31.4815 9.8820 1.74582 65.875
12  OI TALL 1400 -560 37 -278 3.45 5.24 22.629 494.74 1373.89 2366.73 14596.0 64.4393 16.6752 3.21729 104.550
13  OI TALL 1276 -570 33 -248 3.45 6.32 13.015 525.97 1057.40 2093.10 9826.8 48.2886 12.3730 2.97695 75.612
14  OI TALL 1736 -580 36 -314 4.10 4.88 13.678 571.14 1111.29 2108.47 11978.4 22.5500 9.4058 2.71841 59.888
15  OI TALL 1004 -640 30 -328 3.50 4.70 14.663 408.64 843.50 1711.42 10368.6 33.4330 14.9302 1.85407 77.572
16  SI DVEG 396 -610 30 -328 3.25 6.26 60.862 646.65 1694.01 3018.60 17307.4 52.7993 31.2865 3.72767 102.196
17  SI DVEG 352 -600 27 -374 3.35 6.36 77.311 514.03 1667.42 2444.52 12822.0 60.4025 30.1652 2.99087 96.418
18  SI DVEG 328 -630 29 -356 3.20 5.34 73.513 350.73 1455.84 2372.91 8582.6 66.3797 28.5901 2.41503 88.484
19  SI DVEG 392 -640 34 -354 3.35 4.44 56.762 496.29 2002.44 2241.30 12369.5 56.8681 19.8795 2.45754 91.758
20  SI DVEG 236 -600 36 -348 3.30 5.90 39.531 580.92 1427.89 2778.22 14731.9 64.5076 18.5056 2.82948 101.712 
21  SI SHRT 392 -640 30 -390 3.25 7.06 39.723 535.82 1339.26 2807.64 15060.6 56.2912 22.1344 3.43709 179.809
22  SI SHRT 268 -650 28 -358 3.25 7.90 55.566 490.34 1468.69 2643.62 11056.3 58.5863 28.6101 3.47090 168.098
23  SI SHRT 252 -630 31 -332 3.20 7.72 35.279 552.39 1377.06 2674.65 8118.9 56.7497 23.1908 3.60202 210.316
